name;populacao;idhm;pib;leitos
Acre;881935;0,719;14.271.000;75
Alagoas;3337357;0,683;52.843.000;491
Amapá;845731;0,74;15.480.000;82
Amazonas;4144597;0,733;93.204.000;502
Bahia;14873064;0,714;268.661.000;2029
Ceará;9132078;0,735;147.890.000;1201
Distrito Federal;3015268;0,85;244.683.000;1031
Espírito Santo;4018650;0,772;113.352.000;1091
Goiás;7018354;0,769;191.899.000;1409
Maranhão;7075181;0,687;89.524.000;787
Mato Grosso;3484466;0,774;126.805.000;877
Mato Grosso do Sul;2778986;0,766;96.372.000;484
Minas Gerais;21168791;0,787;576.199.000;4341
Pará;8602865;0,698;155.195.000;984
Paraíba;4018127;0,722;62.387.000;608
Paraná;11433957;0,792;421.375.000;2858
Pernambuco;9557071;0,727;181.551.000;1861
Piauí;3273227;0,697;45.359.000;353
Rio de Janeiro;17264943;0,796;671.362.000;6341
Rio Grande do Norte;3506853;0,731;64.295.000;601
Rio Grande do Sul;11377239;0,787;423.151.000;2374
Rondônia;1777225;0,725;43.506.000;294
Roraima;605761;0,752;12.103.000;48
Santa Catarina;7164788;0,808;277.192.000;1108
São Paulo;45919049;0,826;2.119.854.000;11863
Sergipe;2298696;0,702;40.704.000;339
Tocantins;1572866;0,743;34.102.000;221
